1-Phosphatidylinositol 3-Kinase;D8.811.913.696.620.525;D8.811.913.696.620.500
Aggrecans;D12.776.503.280.30;D12.776.503.280.437.100
Aglaia;B1.650.388.100.715.61;B1.650.940.800.575.100.715.61
Agricultural Workers' Diseases;C21.447.80;C24.80
Agrimonia;B1.650.388.100.842.500.33;B1.650.940.800.575.100.842.500.33
Agropyron;B1.650.388.100.822.33;B1.650.940.800.575.100.822.33
Agrostemma;B1.650.388.100.195.55;B1.650.940.800.575.100.195.55
Agrostis;B1.650.388.100.822.44;B1.650.940.800.575.100.822.44
Ailanthus;B1.650.388.100.898.44;B1.650.940.800.575.100.898.44
Aizoaceae;B1.650.388.100.20;B1.650.940.800.575.100.20
Ajuga;B1.650.388.100.575.51;B1.650.940.800.575.100.575.51
Akathisia, Drug-Induced;C21.613.276.252;C25.723.276.252
Akathisia, Drug-Induced;C21.613.705.100;C25.723.705.100
Alangiaceae;B1.650.388.100.22;B1.650.940.800.575.100.22
Albizzia;B1.650.388.100.401.51;B1.650.940.800.575.100.401.51
Alchemilla;B1.650.388.100.842.500.55;B1.650.940.800.575.100.842.500.55
Alcohol Amnestic Disorder;C21.613.705.150.100;C25.100.87.193.100
Alcohol Amnestic Disorder;C21.739.100.87.193.100;C25.723.705.150.100
Alcohol Withdrawal Delirium;C21.613.705.150.200;C25.100.87.193.200
Alcohol Withdrawal Delirium;C21.739.100.87.193.200;C25.723.705.150.200
Alcohol Withdrawal Delirium;C21.739.835.250;C25.835.250
Alcohol Withdrawal Seizures;C21.613.705.150.300;C25.100.87.193.300
Alcohol Withdrawal Seizures;C21.739.100.87.193.300;C25.723.705.150.300
Alcohol Withdrawal Seizures;C21.739.835.500;C25.835.500
Alcohol-Induced Disorders;C21.739.100.87;C25.100.87
Alcohol-Induced Disorders, Nervous System;C21.613.705.150;C25.100.87.193
Alcohol-Induced Disorders, Nervous System;C21.739.100.87.193;C25.723.705.150
Alcohol-Related Disorders;C21.739.100;C25.100
Alcoholic Intoxication;C21.739.100.175;C25.100.175
Alcoholic Neuropathy;C21.613.705.150.400;C25.100.87.193.400
Alcoholic Neuropathy;C21.739.100.87.193.400;C25.723.705.150.400
Alcoholism;C21.739.100.250;C25.100.250
Aleurites;B1.650.388.100.350.77;B1.650.940.800.575.100.350.77
Alexander Disease;;C10.228.140.163.100.362.312
Alexander Disease;;C10.228.140.695.625.312
Alexander Disease;;C10.228.518.625.312
Alexander Disease;;C16.320.565.189.362.312
Alexander Disease;;C18.452.132.100.362.312
Alexander Disease;;C18.452.648.189.362.312
Algae, Brown;B1.40.50;B1.750.600
Algae, Golden-Brown;B1.40.75;B1.750.150
Algae, Green;B1.40.80;B1.650.940.150
Algae, Red;B1.40.100;B1.650.700
Alisma;B1.650.388.100.25.33.44;B1.650.940.800.575.100.25.33.44
Alismataceae;B1.650.388.100.25.33;B1.650.940.800.575.100.25.33
Alismatidae;B1.650.388.100.25;B1.650.940.800.575.100.25
Allium;B1.650.388.100.610.100;B1.650.940.800.575.100.610.100
Alnus;B1.650.388.100.137.500;B1.650.940.800.575.100.137.500
Alocasia;B1.650.388.100.85.66;B1.650.940.800.575.100.85.66
Aloe;B1.650.388.100.27;B1.650.940.800.575.100.27
alpha 1-Antitrypsin Deficiency;C17.300.50;C6.552.74
alpha 1-Antitrypsin Deficiency;;C8.381.112
alpha 1-Antitrypsin Deficiency;;C16.320.60
alpha 1-Antitrypsin Deficiency;;C23.550.325.500.500
Alpha Rhythm;E1.370.376.300.100;E1.370.376.300.150.374
Alpha Rhythm;E1.370.405.245.100;E1.370.405.245.287.374
Alpha Rhythm;;G7.265.87.500
Alpha Rhythm;;G11.561.127.500
Alpinia;B1.650.388.100.975.900.33;B1.650.940.800.575.100.975.900.33
Alstonia;B1.650.388.100.81.43;B1.650.940.800.575.100.81.43
Alstroemeria;B1.650.388.100.610.111;B1.650.940.800.575.100.610.111
Althaea;B1.650.388.100.700.115;B1.650.940.800.575.100.700.115
Amaranthaceae;B1.650.388.100.37;B1.650.940.800.575.100.37
Amaranthus;B1.650.388.100.37.130;B1.650.940.800.575.100.37.130
Ambrosia;B1.650.388.100.100.65;B1.650.940.800.575.100.100.65
Ammi;B1.650.388.100.100.70;B1.650.940.800.575.100.100.70
Amomum;B1.650.388.100.975.900.99;B1.650.940.800.575.100.975.900.99
Amorphophallus;B1.650.388.100.85.77;B1.650.940.800.575.100.85.77
Ampelopsis;B1.650.388.100.965.44;B1.650.940.800.575.100.965.44
Amphetamine-Related Disorders;C21.739.225;C25.225
Amputation, Traumatic;C21.866.62;C26.62
Amsinckia;B1.650.388.100.150.122;B1.650.940.800.575.100.150.122
Amsonia;B1.650.388.100.81.88;B1.650.940.800.575.100.81.88
Amyloid beta-Protein;D12.776.49.25;D12.644.24
Amyloid beta-Protein;;D12.776.49.407.249.500
Amyloid beta-Protein;;D12.776.543.39.500
Amyloid beta-Protein Precursor;D12.776.49.25.150;D12.776.49.407.249
Amyloid beta-Protein Precursor;;D12.776.543.39
Amyloid beta-Protein Precursor;;D12.776.645.468.500
Amyotrophic Lateral Sclerosis;C10.668.460.250;C10.668.467.250
Anacardiaceae;B1.650.388.100.44;B1.650.940.800.575.100.44
Anacardium;B1.650.388.100.44.277;B1.650.940.800.575.100.44.277
Anagallis;B1.650.388.100.829.99;B1.650.940.800.575.100.829.99
Ananas;B1.650.388.100.159.99;B1.650.940.800.575.100.159.99
Androgen-Insensitivity Syndrome;C12.706.842.316.627.109;C12.706.316.96.500
Androgen-Insensitivity Syndrome;C13.351.875.842.316.627.109;C13.351.875.253.96.500
Androgen-Insensitivity Syndrome;C16.131.939.842.316.627.109;C16.131.939.316.96.500
Androgen-Insensitivity Syndrome;C19.391.775.316.627.500;C19.391.119.96.500
Andrographis;B1.650.388.100.08.44;B1.650.940.800.575.100.08.44
Andropause;G8.686.785.760.960.249.249;G8.686.785.880.249.249
Andropogon;B1.650.388.100.822.55;B1.650.940.800.575.100.822.55
Anemarrhena;B1.650.388.100.610.117;B1.650.940.800.575.100.610.117
Anemone;B1.650.388.100.838.77;B1.650.940.800.575.100.838.77
Anencephaly;C16.131.880.197;C16.131.85.197
Anesthesia Recovery Period;E4.630.55;E4.614.750.55
Anesthesia Recovery Period;;N2.421.585.753.750.55
Anethole Trithione;D2.755.75.100;D2.755.654.158.100
Anethum graveolens;B1.650.388.100.75.77;B1.650.940.800.575.100.75.77
Angelica;B1.650.388.100.75.88;B1.650.940.800.575.100.75.88
Angelica archangelica;B1.650.388.100.75.88.77;B1.650.940.800.575.100.75.88.77
Angelica sinensis;B1.650.388.100.75.88.538;B1.650.940.800.575.100.75.88.538
Angiocardiography;;E1.370.350.130.249
Angioplasty;E4.100.814.50;E4.100.814.529.124
Angioplasty;;E4.800.382.124
Angioplasty, Balloon;E4.100.814.50.60;E4.100.814.529.124.60
Angioplasty, Balloon;;E4.800.382.124.60
Angioplasty, Balloon, Laser-Assisted;E2.148.50.60.80;E2.148.50.60.105
Angioplasty, Balloon, Laser-Assisted;E2.148.102.60.80;E2.148.102.60.105
Angioplasty, Balloon, Laser-Assisted;E4.100.814.50.60.80;E4.100.814.529.124.60.105
Angioplasty, Balloon, Laser-Assisted;E4.100.814.50.75.80;E4.100.814.529.124.75.80
Angioplasty, Balloon, Laser-Assisted;;E4.800.382.124.60.105
Angioplasty, Balloon, Laser-Assisted;;E4.800.382.124.75.80
Angioplasty, Laser;E4.100.814.50.75;E4.100.814.529.124.75
Angioplasty, Laser;;E4.800.382.124.75
Angioplasty, Transluminal, Percutaneous Coronary;E4.100.814.50.60.100;E4.100.814.529.124.60.100
Angioplasty, Transluminal, Percutaneous Coronary;;E4.800.382.124.60.100
Angioscopy;E4.100.814.55;E4.100.814.529.500
Angioscopy;;E4.800.382.500
Angiosperms;B1.650.388.100;B1.650.940.800.575.100
Angiotensin II Type 1 Receptor Blockers;D27.505.519.155;D27.505.519.162.500
Animal Experimentation;;H1.770.644.53
Animals, Genetically Modified;B1.50.50.680.136;B1.50.50.136
Animals, Genetically Modified;;B5.620.136
Anisoles;D2.755.75;D2.755.654.158
Ankle Injuries;C21.866.558.100;C26.558.100
Annona;B1.650.388.100.65.500;B1.650.940.800.575.100.65.500
Annonaceae;B1.650.388.100.65;B1.650.940.800.575.100.65
Anoplura;B1.50.500.131.617.564.159;B1.50.500.131.617.690.60
Anthemis;B1.650.388.100.100.195.99;B1.650.940.800.575.100.100.195.99
Anthocerotophyta;B1.650.388.118;B1.650.940.800.575.118
Anthracosilicosis;C21.447.800.834.201;C24.800.834.201
Antiaris;B1.650.388.100.750.55;B1.650.940.800.575.100.750.55
Anticholesteremic Agents;D27.505.954.230.202;D27.505.954.557.500.202
Antigens, CD14;;D12.776.395.550.448.100
Antigens, CD14;;D12.776.543.484.500.100
Antigens, CD14;;D12.776.543.550.418.100
Antigens, CD146;;D12.776.624.301.249
Antigens, CD146;;D23.50.285.439.249
Antigens, CD24;;D12.776.395.550.448.120
Antigens, CD24;;D12.776.543.484.500.120
Antigens, CD24;;D12.776.543.550.418.120
Antigens, CD26;D8.811.277.656.959.124;D8.811.277.656.959.250
Antigens, CD26;D23.50.301.264.35.126;D23.50.301.264.35.282
Antigens, CD26;D23.50.301.264.894.126;D23.50.301.264.894.160
Antigens, CD26;D23.101.100.110.126;D23.101.100.894.160
Antigens, CD26;D23.101.100.894.126;
Antigens, CD55;D12.776.395.550.30;D12.776.395.550.448.130
Antigens, CD55;D12.776.543.550.155;D12.776.543.484.500.130
Antigens, CD55;;D12.776.543.550.418.130
Antigens, CD59;D12.776.395.550.35;D12.776.395.550.448.140
Antigens, CD59;D12.776.543.550.159;D12.776.543.484.500.140
Antigens, CD59;;D12.776.543.550.418.140
Antilipemic Agents;D27.505.954.230;D27.505.954.557.500
Antimony;;D1.268.513.124
Antirrhinum;B1.650.388.100.892.55;B1.650.940.800.575.100.892.55
Antithrombin III;D12.644.822.750.60.60;D12.644.822.750.60.500
Antithrombin III;D12.644.861.60.60;D12.644.861.60.500
Antithrombin III;D12.776.645.750.60.60;D12.776.645.750.60.500
Antithrombin III;D12.776.872.60.60;D12.776.872.60.500
Antithrombins;;D27.505.519.389.745.800.449
Antithrombins;;D27.505.954.502.119.500
Aortic Rupture;C21.866.761.125;C26.761.125
Aphanomyces;B1.40.650.75;B1.750.937.75
Apiaceae;B1.650.388.100.75;B1.650.940.800.575.100.75
Apium graveolens;B1.650.388.100.75.99;B1.650.940.800.575.100.75.99
Apocynaceae;B1.650.388.100.81;B1.650.940.800.575.100.81
Apocynum;B1.650.388.100.81.131;B1.650.940.800.575.100.81.131
Aquifoliaceae;B1.650.388.100.84;B1.650.940.800.575.100.84
Aquilegia;B1.650.388.100.838.88;B1.650.940.800.575.100.838.88
Arabidopsis;B1.650.388.100.157.100;B1.650.940.800.575.100.157.100
Arabis;B1.650.388.100.157.150;B1.650.940.800.575.100.157.150
Araceae;B1.650.388.100.85;B1.650.940.800.575.100.85
Arachidonate 12-Lipoxygenase;D8.811.682.690.416.444.50.60;D8.811.682.690.416.583.500.60
Arachidonate 12-Lipoxygenase;D12.776.556.579.374.450.25.25;D12.776.556.579.374.568.500.25
Arachidonate 15-Lipoxygenase;D8.811.682.690.416.444.50.65;D8.811.682.690.416.583.500.65
Arachidonate 15-Lipoxygenase;D12.776.556.579.374.450.25.30;D12.776.556.579.374.568.500.30
Arachidonate 5-Lipoxygenase;D8.811.682.690.416.444.50.55;D8.811.682.690.416.583.500.55
Arachidonate 5-Lipoxygenase;D12.776.556.579.374.450.25.20;D12.776.556.579.374.568.500.20
Arachidonate Lipoxygenases;D8.811.682.690.416.444.50;D8.811.682.690.416.583.500
Arachidonate Lipoxygenases;D12.776.556.579.374.450.25;D12.776.556.579.374.568.500
Arachis hypogaea;B1.650.388.100.401.77;B1.650.940.800.575.100.401.77
Arachnidism;C21.613.127.141;C25.723.127.141
Aralia;B1.650.388.100.87.249;B1.650.940.800.575.100.87.249
Araliaceae;B1.650.388.100.87;B1.650.940.800.575.100.87
Arctium;B1.650.388.100.100.72;B1.650.940.800.575.100.100.72
Arctostaphylos;B1.650.388.100.343.99;B1.650.940.800.575.100.343.99
Ardisia;B1.650.388.100.770.66;B1.650.940.800.575.100.770.66
Areca;B1.650.388.100.93.88;B1.650.940.800.575.100.93.88
Arecaceae;B1.650.388.100.93;B1.650.940.800.575.100.93
Arenaria Plant;B1.650.388.100.195.77;B1.650.940.800.575.100.195.77
Argemone;B1.650.388.100.795.124;B1.650.940.800.575.100.795.124
Argyria;C21.613.68;C25.723.68
Arisaema;B1.650.388.100.85.88;B1.650.940.800.575.100.85.88
Aristolochia;B1.650.388.100.96.211;B1.650.940.800.575.100.96.211
Aristolochiaceae;B1.650.388.100.96;B1.650.940.800.575.100.96
Arm Injuries;C21.866.88;C26.88
Armoracia;B1.650.388.100.157.175;B1.650.940.800.575.100.157.175
Arnica;B1.650.388.100.100.75;B1.650.940.800.575.100.100.75
Arsenic;;D1.268.513.249
Arsenic Poisoning;C21.613.97;C25.723.97
Artemisia;B1.650.388.100.100.100;B1.650.940.800.575.100.100.100
Artemisia absinthium;B1.650.388.100.100.100.99;B1.650.940.800.575.100.100.100.99
Artemisia annua;B1.650.388.100.100.100.144;B1.650.940.800.575.100.100.100.144
Arteriovenous Shunt, Surgical;E4.100.814.143;E4.100.814.868.249
Artocarpus;B1.650.388.100.750.88;B1.650.940.800.575.100.750.88
Arum;B1.650.388.100.85.109;B1.650.940.800.575.100.85.109
Asarum;B1.650.388.100.96.233;B1.650.940.800.575.100.96.233
Asbestosis;C21.447.800.127;C24.800.127
Asclepiadaceae;B1.650.388.100.99;B1.650.940.800.575.100.99
Asclepias;B1.650.388.100.99.38;B1.650.940.800.575.100.99.38
Ascophyllum;B1.40.50.40;B1.750.600.40
Asimina;B1.650.388.100.65.750;B1.650.940.800.575.100.65.750
Aspalathus;B1.650.388.100.401.82;B1.650.940.800.575.100.401.82
Asparagus Plant;B1.650.388.100.610.162;B1.650.940.800.575.100.610.162
Asphyxia;C21.866.103;C26.103
Aspidosperma;B1.650.388.100.81.174;B1.650.940.800.575.100.81.174
Aster Plant;B1.650.388.100.100.111;B1.650.940.800.575.100.100.111
Asteraceae;B1.650.388.100.100;B1.650.940.800.575.100.100
Astragalus gummifer;B1.650.388.100.401.87.500;B1.650.940.800.575.100.401.87.500
Astragalus membranaceus;B1.650.388.100.401.87.750;B1.650.940.800.575.100.401.87.750
Astragalus Plant;B1.650.388.100.401.87;B1.650.940.800.575.100.401.87
Atherectomy;E4.100.814.50.120;E4.100.814.529.124.120
Atherectomy;;E4.800.382.124.120
Atherectomy, Coronary;E4.100.814.50.120.125;E4.100.814.529.124.120.125
Atherectomy, Coronary;;E4.800.382.124.120.125
Athletic Injuries;C21.866.115;C26.115
Atractylis;B1.650.388.100.100.118;B1.650.940.800.575.100.100.118
Atractylodes;B1.650.388.100.100.126;B1.650.940.800.575.100.100.126
Atriplex;B1.650.388.100.200.199;B1.650.940.800.575.100.200.199
Atropa;B1.650.388.100.905.49;B1.650.940.800.575.100.905.49
Atropa belladonna;B1.650.388.100.905.49.222;B1.650.940.800.575.100.905.49.222
Auditory Brain Stem Implants;E7.305.250.319.74;E7.305.250.319.381.500.249
Auditory Brain Stem Implants;;E7.695.202.381.500.249
Autoexperimentation;;H1.770.644.145.365.100
Autoexperimentation;;H1.770.644.302.100
Avena sativa;B1.650.388.100.822.60;B1.650.940.800.575.100.822.60
Avicennia;B1.650.388.100.960.66;B1.650.940.800.575.100.960.66
Azadirachta;B1.650.388.100.715.124;B1.650.940.800.575.100.715.124
Baccharis;B1.650.388.100.100.133;B1.650.940.800.575.100.100.133
Back Injuries;C21.866.117;C26.117
Bacopa;B1.650.388.100.892.89;B1.650.940.800.575.100.892.89
Balanites;B1.650.388.100.987.88;B1.650.940.800.575.100.987.88
Balanophoraceae;B1.650.388.100.106;B1.650.940.800.575.100.106
Ballota;B1.650.388.100.575.75;B1.650.940.800.575.100.575.75
Balsaminaceae;B1.650.388.100.112;B1.650.940.800.575.100.112
Bambusa;B1.650.388.100.822.66;B1.650.940.800.575.100.822.66
Banisteriopsis;B1.650.388.100.690.99;B1.650.940.800.575.100.690.99
Barbarea;B1.650.388.100.157.187;B1.650.940.800.575.100.157.187
Barotrauma;C21.866.120;C26.120
Barringtonia;B1.650.388.100.600.99;B1.650.940.800.575.100.600.99
Bassia scoparia;B1.650.388.100.200.299;B1.650.940.800.575.100.200.299
Bauhinia;B1.650.388.100.401.88;B1.650.940.800.575.100.401.88
Begoniaceae;B1.650.388.100.118;B1.650.940.800.575.100.118
Benzophenones;;D2.455.426.559.389.115.124
Berberidaceae;B1.650.388.100.125;B1.650.940.800.575.100.125
Berberis;B1.650.388.100.125.249;B1.650.940.800.575.100.125.249
Bertholletia;B1.650.388.100.600.133;B1.650.940.800.575.100.600.133
Berylliosis;C21.447.800.225;C24.800.225
Beta Rhythm;E1.370.376.300.125;E1.370.376.300.150.750
Beta Rhythm;E1.370.405.245.125;E1.370.405.245.287.750
Beta Rhythm;;G7.265.87.750
Beta Rhythm;;G11.561.127.750
Beta vulgaris;B1.650.388.100.200.399;B1.650.940.800.575.100.200.399
Betula;B1.650.388.100.137.750;B1.650.940.800.575.100.137.750
Betulaceae;B1.650.388.100.137;B1.650.940.800.575.100.137
Bezafibrate;D2.241.81.160.140.135.100;D2.65.277.67
Bezafibrate;D2.241.81.160.225.133;D2.241.81.160.700.500.249
Bezafibrate;;D2.241.223.100.120.101
Bezafibrate;;D2.355.726.305.249
Bezafibrate;;D2.755.654.305.249
Bezoars;C21.866.392.183;C26.392.183
Bidens;B1.650.388.100.100.137;B1.650.940.800.575.100.100.137
Bignoniaceae;B1.650.388.100.143;B1.650.940.800.575.100.143
Biodiversity;G16.500.249.49;G16.500.275.157.49
Biological Clocks;G7.180.125;G7.180.562.94
Biomass;G16.500.249.100;G16.500.275.157.100
Bird Fancier's Lung;C21.447.125;C24.125
Birth Injuries;C21.866.141;C26.141
Bites and Stings;C21.613.127;C25.723.127
Bites and Stings;C21.866.153;C26.153
Bites, Human;C21.866.153.311;C26.153.311
Bixaceae;B1.650.388.100.146;B1.650.940.800.575.100.146
Blast Injuries;C21.866.120.126;C26.120.126
Blighia;B1.650.388.100.885.111;B1.650.940.800.575.100.885.111
Blood Bactericidal Activity;G12.450.575.204;G12.450.564.204
Blood Protein Electrophoresis;;E5.196.401.76
Blood Protein Electrophoresis;;E5.301.300.49
Blood Substitutes;;J1.637.87.249
Blood Vessel Prosthesis Implantation;E4.100.814.200;E4.100.814.868.500
Blood-Borne Pathogens;B1.40.120;
Blotting, Far-Western;E5.601.131;E5.196.401.143.500
Blotting, Far-Western;;E5.301.300.96.500
Blotting, Far-Western;;E5.393.525.262.500
Blotting, Far-Western;;E5.601.495.320.200.500
Blotting, Northern;;E5.196.401.95
Blotting, Northern;;E5.301.300.74
Blotting, Southern;;E5.196.401.114
Blotting, Southern;;E5.301.300.87
Blotting, Southwestern;;E5.196.401.133
Blotting, Southwestern;;E5.301.300.93
Blotting, Western;E5.601.155;E5.196.401.143
Blotting, Western;;E5.301.300.96
Blotting, Western;;E5.393.525.262
Blueberry Plant;B1.650.388.100.343.774.249;B1.650.940.800.575.100.343.774.249
Boehmeria;B1.650.388.100.950.77;B1.650.940.800.575.100.950.77
Bombacaceae;B1.650.388.100.148;B1.650.940.800.575.100.148
Bombax;B1.650.388.100.148.750;B1.650.940.800.575.100.148.750
Bonamia Plant;B1.650.388.100.238.124;B1.650.940.800.575.100.238.124
Boraginaceae;B1.650.388.100.150;B1.650.940.800.575.100.150
Borago;B1.650.388.100.150.188;B1.650.940.800.575.100.150.188
Boron;;D1.268.513.500
Boswellia;B1.650.388.100.162.111;B1.650.940.800.575.100.162.111
Bottle Feeding;G7.610.220.500.249;F1.145.407.99
Bottle Feeding;G7.610.593.150;
Bottle Feeding;G7.700.620.150;
Botulinum Toxin Type A;D12.776.97.156.50;D8.811.277.656.300.480.153.100
Botulinum Toxin Type A;;D8.811.277.656.675.374.153.100
Botulinum Toxin Type A;;D12.776.97.156.100
Botulinum Toxins;;D8.811.277.656.300.480.153
Botulinum Toxins;;D8.811.277.656.675.374.153
Botulism;C21.613.415.151;C25.723.415.151
Brachiaria;B1.650.388.100.822.71;B1.650.940.800.575.100.822.71
Brain Concussion;C21.866.260.118.150;C26.260.118.150
Brain Concussion;C21.866.915.300.200.150;C26.915.300.200.150
Brain Concussion;C21.866.974.150;C26.974.150
Brain Concussion;C21.866.974.382.200;C26.974.382.200
Brain Hemorrhage, Traumatic;C21.866.260.118.175;C26.260.118.175
Brain Hemorrhage, Traumatic;C21.866.915.300.200.175;C26.915.300.200.175
Brain Hemorrhage, Traumatic;C21.866.915.300.490.150;C26.915.300.490.150
Brain Injuries;C21.866.260.118;C26.260.118
Brain Injuries;C21.866.915.300.200;C26.915.300.200
Brain Injury, Chronic;C21.866.260.118.200;C26.260.118.200
Brain Injury, Chronic;C21.866.915.300.200.200;C26.915.300.200.200
Brain Stem Hemorrhage, Traumatic;C21.866.260.118.175.150;C26.260.118.175.150
Brain Stem Hemorrhage, Traumatic;C21.866.915.300.200.175.200;C26.915.300.200.175.200
Brain Stem Hemorrhage, Traumatic;C21.866.915.300.490.150.200;C26.915.300.490.150.200
Brassica;B1.650.388.100.157.200;B1.650.940.800.575.100.157.200
Brassica napus;B1.650.388.100.157.200.249;B1.650.940.800.575.100.157.200.249
Brassica rapa;B1.650.388.100.157.200.277;B1.650.940.800.575.100.157.200.277
Brassicaceae;B1.650.388.100.157;B1.650.940.800.575.100.157
Breast Feeding;;F1.145.407.199
Bromelia;B1.650.388.100.159.244;B1.650.940.800.575.100.159.244
Bromeliaceae;B1.650.388.100.159;B1.650.940.800.575.100.159
Bromus;B1.650.388.100.822.77;B1.650.940.800.575.100.822.77
Bronchoalveolar Lavage;E5.510.100;E5.927.100
Bronchoalveolar Lavage Fluid;E5.510.100.500;E5.927.100.500
Broussonetia;B1.650.388.100.750.144;B1.650.940.800.575.100.750.144
Brucea;B1.650.388.100.898.111;B1.650.940.800.575.100.898.111
Bryonia;B1.650.388.100.300.93;B1.650.940.800.575.100.300.93
Bryophyta;B1.650.388.137;B1.650.940.800.575.137
Bryopsida;B1.650.388.137.500;B1.650.940.800.575.137.500
Buddleja;B1.650.388.100.892.124;B1.650.940.800.575.100.892.124
Bulbar Palsy, Progressive;C10.668.460.300;C10.668.467.300
Bulbo-Spinal Atrophy, X-Linked;C10.668.460.500.186;C10.668.467.500.186
Bupleurum;B1.650.388.100.75.144;B1.650.940.800.575.100.75.144
Burns;C21.866.200;C26.200
Burns, Chemical;C21.866.200.156;C26.200.156
Burns, Electric;C21.866.200.239;C26.200.239
Burns, Electric;C21.866.324.323;C26.324.323
Burns, Inhalation;C21.866.200.322;C26.200.322
Bursera;B1.650.388.100.162.138;B1.650.940.800.575.100.162.138
Burseraceae;B1.650.388.100.162;B1.650.940.800.575.100.162
Butea;B1.650.388.100.401.90;B1.650.940.800.575.100.401.90
Butylated Hydroxyanisole;D2.755.75.241;D2.755.654.158.324
Buxaceae;B1.650.388.100.165;B1.650.940.800.575.100.165
Buxus;B1.650.388.100.165.500;B1.650.940.800.575.100.165.500
Byssinosis;C21.447.800.323;C24.800.323
Cacao;B1.650.388.100.915.144;B1.650.940.800.575.100.915.144
Cactaceae;B1.650.388.100.168;B1.650.940.800.575.100.168
Cadmium Poisoning;C21.613.165;C25.723.165
Caesalpinia;B1.650.388.100.401.93;B1.650.940.800.575.100.401.93
