2,3-Diketogulonic Acid;D9.203.811.200;D9.811.200
Allantois;;A10.615.284.147
alpha-Defensins;D12.644.350.200.50;D12.644.50.200.50
Alternative Splicing;;G6.535.839.700.100
Amanitins;;D4.345.566.50
Amber;;D5.750.78.740.109
Amdinocillin;D2.65.589.875.124;D2.65.589.99.750.124
Amdinocillin Pivoxil;D2.65.589.875.124.36;D2.65.589.99.750.124.36
Amelogenesis;G7.553.767.190;G7.574.500.325.377.750.190
Amifostine;D2.719.60;D2.705.539.60
Amikacin;D9.203.408.51.476.60;D9.408.51.476.60
Amino Acid Motifs;G6.184.580.709.600.40;G6.184.603.790.709.600.40
Amino Sugars;D9.203.67;D9.67
Aminoglycosides;D9.203.408.51;D9.408.51
Aminolevulinic Acid;;D12.125.262
Aminopyrine;D3.383.694.50;D3.383.694.850.77
Amnion;;A10.615.284.277
Amoxicillin;D2.65.589.875.750.50.50;D2.65.589.99.750.750.50.50
Amoxicillin-Potassium Clavulanate Combination;D2.65.589.270.160.60;D2.65.589.99.374.160.60
Amoxicillin-Potassium Clavulanate Combination;D2.65.589.875.750.50.50.60;D2.65.589.99.750.750.50.50.60
Amphotericin B;D9.203.408.477.50;D4.345.349.50
Amphotericin B;;D9.408.477.50
Ampicillin;D2.65.589.875.750.50;D2.65.589.99.750.750.50
Ampyrone;D3.383.694.50.25;D3.383.694.850.77.25
Amygdalin;D9.203.408.348.50;D9.408.348.50
Amyloid;D12.776.395.90;D5.500.49
Amyloid;;D12.776.49
Amyloid beta-Protein;D12.776.395.90.25;D12.776.49.25
Amyloid beta-Protein Precursor;D12.776.395.90.25.150;D12.776.49.25.150
Amyloid P Component;D12.776.124.50.90;D12.776.49.800
Amyloid P Component;D12.776.395.90.50;D12.776.124.50.730
Amyloid P Component;;D12.776.395.690
Amyloid Protein SAA;D12.776.124.75;D12.776.49.790
Amyloid Protein SAA;D12.776.395.90.75;D12.776.124.50.725
Amylopectin;D9.203.698.365.855.194;D9.698.365.855.194
Amylose;D9.203.698.365.855.361;D9.698.365.855.361
Analog-Digital Conversion;L1.700.568.80.260.280.80;L1.224.230.260.280.80
Anaphase;G4.335.135.220.225.60;G4.335.134.220.220.500
Anaphase;G5.105.225.60;G4.335.233.750.500.220.500
Anaphase;G7.553.135.220.225.60;G5.105.220.500
Anaphase;;G7.382.374.220.220.500
Anaphase;;G7.382.843.750.500.220.500
Anaphase;;G7.574.249.410.750.500.220.500
Androgen-Insensitivity Syndrome;C19.391.301.699;
Aniline Hydroxylase;D8.811.682.580.170.40.50;D8.811.682.690.708.170.40.50
Animals, Congenic;;B1.50.199.520.40
Animals, Genetically Modified;B1.50.136;
Animals, Inbred Strains;;B1.50.199.520
Ankyrin Repeat;G6.184.580.709.600.40.30;G6.184.603.790.709.600.40.30
Anniversaries and Special Events;K1.419.95;K1.504.95
Anthocyanins;D9.203.408.84;D9.408.84
Anthracyclines;D4.615.597.50;D4.615.562.50
Anthracyclines;D9.203.408.51.50;D9.408.51.59
Anthropometry;E5.118.90;E1.370.600.24
Anthropometry;;E5.41
Antigens, CD15;D9.203.400.410.420.25.60;D9.400.410.420.25.60
Antigens, CD27;;D12.776.543.750.705.852.760.48
Antigens, CD30;;D12.776.543.750.705.852.760.72
Antigens, CD36;;D12.776.543.750.11
Antigens, CD40;;D12.776.543.750.705.852.760.97
Antimicrobial Cationic Peptides;D12.644.350;D12.644.50
Antimony Sodium Gluconate;D9.203.811.308.60;D9.811.308.60
Antimycin A;;D4.345.349.75
Antipyrine;D3.383.694.65;D3.383.694.850.88
Arabinose;D9.203.546.627.166;D9.546.627.166
Arachidonate 12-Lipoxygenase;D8.811.682.690.433.50.60;D8.811.682.690.416.444.50.60
Arachidonate 15-Lipoxygenase;D8.811.682.690.433.50.65;D8.811.682.690.416.444.50.65
Arachidonate 5-Lipoxygenase;D8.811.682.690.433.50.55;D8.811.682.690.416.444.50.55
Arachidonate Lipoxygenases;D8.811.682.690.433.50;D8.811.682.690.416.444.50
Arbutin;D9.203.408.348.75;D9.408.348.75
Archives;K1.419.152;K1.504.152
Aromatase;D8.811.682.580.170.915.99;D8.811.682.690.708.170.915.99
Aromatase;D8.811.682.580.783.99;D8.811.682.690.708.783.99
Arthritis, Experimental;;E5.598.500.249
Artificial Intelligence;L1.700.568.110.65;L1.224.65
Aryl Hydrocarbon Hydroxylases;D8.811.682.580.170.40;D8.811.682.690.708.170.40
Ascorbic Acid;D9.203.811.100;D9.811.100
Asian Americans;;M1.686.754.225
Aspartame;D9.818.190;
AT-Hook Motifs;G6.184.580.709.600.40.50;G6.184.603.790.709.600.40.50
Atractyloside;D9.203.408.105;D9.408.105
Audiovisual Aids;I2.903.847.297;J1.897.280.500
Audiovisual Aids;L1.178.147;L1.178.820.90
Automatic Data Processing;L1.700.568.110.85;L1.224.85
AY-9944;D2.455.426.392.368.367.100;D2.455.426.392.368.367.900
Azinphosmethyl;D2.719.94;D2.705.539.94
Azithromycin;D9.203.408.477.250.50;D4.345.349.250.50
Azithromycin;;D9.408.477.250.50
Azlocillin;D2.65.589.875.750.50.75;D2.65.589.99.750.750.50.75
Aztreonam;D2.65.589.385.44;D2.65.589.99.500.44
Bacitracin;;D4.345.566.75
Bacterial Capsules;D9.203.698.718.200;D9.698.718.200
Bacteriochlorophylls;;D4.345.783.374.100
Bacteriochlorophylls;;D4.345.783.500.640.220.100
Balsams;;D5.750.78.740.219
Bambermycins;D9.203.698.718.220;D9.698.718.220
Barber Surgeons;K1.419.552.53;K1.504.552.53
Bartter's Disease;C19.53.181.604.304;C12.777.419.815.279
Bartter's Disease;;C19.53.800.604.249
Base Pairing;G6.184.580.486.100;G6.184.603.790.486.100
Bay-K-8644;D3.383.725.203.130;D3.383.725.203.600
Bay-K-8644;D3.383.725.547.330;D3.383.725.547.900
Bears;B1.150.900.649.147.125;B1.150.900.649.147.890
Beetles;B1.500.131.617.155.304;B1.500.131.617.69
Benzanthracenes;D4.615.117.306;D4.615.149
Benzopyrene Hydroxylase;D8.811.682.580.170.40.110;D8.811.682.690.708.170.40.110
beta-Defensins;D12.644.350.200.75;D12.644.50.200.75
Bibenzyls;;D2.455.426.559.389.150.700.75
Bile Pigments;;D4.345.783.249
Bilirubin;;D4.345.783.249.184
Biliverdine;;D4.345.783.249.184.200
Biological Availability;;G6.535.780.151
Biopolymers;D12.472.310;D5.750.78
Biopolymers;;D25.720.99
Biopterin;D11.303.180;
Birth Weight;G7.553.481.398.186;C23.888.144.186
Birth Weight;;E1.370.600.115.100.160.120.186
Birth Weight;;E5.118.160.750.149
Birth Weight;;G7.290.100.160.120.186
Birth Weight;;G7.574.249.314.120.186
Bisexuality;G8.520.902.975.200;G8.520.950.975.200
Bisphenol A-Glycidyl Methacrylate;;D5.750.716.822.308.200
Bleomycin;D9.203.400.420.110;D9.400.420.110
Blood Glucose;D9.203.147;D9.546.359.448.500
Blood Transfusion, Intrauterine;;E2.467.500
Body Constitution;E1.370.600.110;E1.370.600.115
Body Constitution;G7.265;G7.290
Body Height;E1.370.600.110.100;E1.370.600.115.100.160.100
Body Height;E5.118.90.87;E5.118.160.500
Body Height;G7.553.481.231;G7.290.100.160.100
Body Height;;G7.574.249.314.100
Body Mass Index;E5.118.90.175;E1.370.600.115.100.125
Body Mass Index;;E5.118.125
Body Mass Index;;G7.290.100.125
Body Patterning;G7.553.686.100;G7.574.500.100
Body Surface Area;E1.370.600.110.110;E1.370.600.115.100.231
Body Surface Area;;G7.290.100.231
Body Weight;E1.370.600.110.120;C23.888.144
Body Weight;E5.118.90.287;E1.370.600.115.100.160.120
Body Weight;G7.553.481.398;E5.118.160.750
Body Weight;;G7.290.100.160.120
Body Weight;;G7.574.249.314.120
Body Weight Changes;C23.888.169;C23.888.144.243
Body Weight Changes;;G7.574.249.314.120.200
Body Weights and Measures;;E1.370.600.115.100
Body Weights and Measures;;G7.290.100
Bone Cements;;D5.750.716.822.300
Bone Development;G7.553.690.100;G7.574.500.325.377.625.100
Books, Illustrated;L1.178.147.117;J1.897.280.500.117
Breast Diseases;C19.146;C17.800.90
Breast Implantation;;E2.218.565.210
Breast Neoplasms;C19.146.170;C17.800.90.500
Breast Neoplasms, Male;C19.146.170.260;C17.800.90.500.260
Breech Presentation;;C13.703.420.183
Brefeldin A;;D4.345.349.100
Brenner Tumor;C4.588.945.418.685.297;
Bucrylate;;D5.750.259.341.110
Bunyamwera virus;B4.820.87.150.147;B4.820.87.640.147
Bunyamwera virus;B4.909.777.147.150.147;B4.909.777.147.640.147
Bunyavirus;B4.820.87.150;B4.820.87.640
Bunyavirus;B4.909.777.147.150;B4.909.777.147.640
Butirosin Sulfate;D9.203.408.51.120;D9.408.51.120
Ca(2+)-Calmodulin Dependent Protein Kinase;;D12.644.360.100
Ca(2+)-Calmodulin Dependent Protein Kinase;;D12.776.476.100
Cachexia;C23.888.169.354.500;C23.888.144.243.963.500.500
Calcification, Physiologic;G7.553.690.100.175;G7.574.500.325.377.625.100.175
Calcium Gluconate;D9.203.811.308.200;D9.811.308.200
Camphor 5-Monooxygenase;D8.811.682.580.170.85;D8.811.682.690.708.170.85
Canaries;B1.150.900.248.159;B1.150.900.248.620.750.250.150
Candicidin;D9.203.408.477.125;D4.345.349.125
Candicidin;;D9.408.477.125
Capreomycin Sulfate;;D4.345.566.142
Carbapenems;D2.65.589.225;D2.65.589.99.124
Carbaryl;;D4.615.638.162
Carbenicillin;D2.65.589.875.750.170;D2.65.589.99.750.750.170
Carbofuran;D2.241.81.251.156;D2.241.81.251.583.166
Carbohydrate Conformation;G6.184.580.235;G6.184.603.790.235
Carbohydrates;D9.203;
Carboxymethylcellulose;D9.203.698.365.180.663.329;D9.698.365.180.663.329
Carcinoma, Adrenal Cortical;C4.557.470.200.25.225;C4.557.470.200.25.152
Carcinoma, Adrenal Cortical;;C19.53.347.500.750
Carcinoma, Ductal, Breast;C19.146.170.445;C17.800.90.500.390
Carcinoma, Endometrioid;C4.588.945.418.685.371;
Carcinoma, Islet Cell;;C4.588.322.421.500
Carcinoma, Islet Cell;;C19.344.421.500
Carcinoma, Non-Small-Cell Lung;;C4.588.894.797.520.230
Carcinoma, Non-Small-Cell Lung;;C8.381.540.145
Carcinoma, Non-Small-Cell Lung;;C8.785.520.145
Carcinoma, Pancreatic Ductal;;C4.588.322.421.750
Carcinoma, Pancreatic Ductal;;C19.344.421.750
Carcinoma, Small Cell;;C4.588.894.797.520.235
Carcinoma, Small Cell;;C8.381.540.147
Carcinoma, Small Cell;;C8.785.520.147
Cardiac Glycosides;D9.203.408.180;D9.408.180
Cardiomyopathy, Alcoholic;C14.280.600.57;C14.280.238.57
Cardiomyopathy, Congestive;C14.280.600.70;C14.280.238.70
Cardiomyopathy, Hypertrophic;C14.280.600.100;C14.280.238.100
Cardiomyopathy, Hypertrophic, Familial;C14.280.600.100.500;C14.280.238.100.500
Cardiomyopathy, Restrictive;C14.280.600.160;C14.280.238.160
Carfecillin;D2.65.589.875.750.170.200;D2.65.589.99.750.750.170.200
Carrageenan;D9.203.698.152;D9.698.152
Carubicin;D4.615.597.50.200.150;D4.615.562.50.200.150
Carubicin;D9.203.408.51.50.200.150;D9.408.51.59.200.150
Caspase 1;;D12.644.360.175.200
Caspase 1;;D12.776.476.175.200
Caspases;;D12.644.360.175
Caspases;;D12.776.476.175
Catechol Oxidase;D8.811.682.580.125;D8.811.682.690.708.125
Cats;B1.150.900.649.147.167;B1.150.900.649.147.354.250.125
CD-I;L1.178.147.668.800.250.100;J1.897.280.500.668.800.250.100
CD-I;L1.178.147.898.800.250.100;J1.897.280.500.898.800.250.100
CD-I;L1.700.568.80.260.115.475.600.325.500L1.178.590.875.800.250.10;
CD-I;;L1.178.820.90.668.800.250.100
CD-I;;L1.178.820.90.898.800.250.100
CD-I;;L1.224.230.260.115.475.600.325.500
CD-ROM;L1.178.147.668.800.250.200;J1.897.280.500.668.800.250.200
CD-ROM;L1.178.147.898.800.250.200;J1.897.280.500.898.800.250.200
CD-ROM;L1.700.568.80.260.115.475.600.325.750L1.178.590.875.800.250.20;
CD-ROM;;L1.178.820.90.668.800.250.200
CD-ROM;;L1.178.820.90.898.800.250.200
CD-ROM;;L1.224.230.260.115.475.600.325.750
CDC2 Protein Kinase;;D12.644.360.250.67.249
CDC2 Protein Kinase;;D12.644.360.250.580.500
CDC2 Protein Kinase;;D12.776.476.250.67.249
CDC2 Protein Kinase;;D12.776.476.250.580.500
CDC2-CDC28 Kinases;;D12.644.360.250.67
CDC2-CDC28 Kinases;;D12.776.476.250.67
CDC28 Protein Kinase, S cerevisiae;;D12.644.360.250.67.500
CDC28 Protein Kinase, S cerevisiae;;D12.776.476.250.67.500
cdc42 GTP-Binding Protein;;D12.644.360.525.700.50
cdc42 GTP-Binding Protein;;D12.776.476.525.700.50
cdc42 GTP-Binding Protein, Saccharomyces cerevisiae;;D12.644.360.525.700.50.500
cdc42 GTP-Binding Protein, Saccharomyces cerevisiae;;D12.776.476.525.700.50.500
CDK9 Protein Kinase;;D12.644.360.250.67.750
CDK9 Protein Kinase;;D12.776.476.250.67.750
Cefaclor;D2.65.589.260.200.155;D2.65.589.99.249.200.155
Cefadroxil;D2.65.589.260.200.165;D2.65.589.99.249.200.165
Cefamandole;D2.65.589.260.150;D2.65.589.99.249.150
Cefatrizine;D2.65.589.260.200.165.125;D2.65.589.99.249.200.165.125
Cefazolin;D2.65.589.260.160;D2.65.589.99.249.160
Cefixime;D2.65.589.260.190.190.115;D2.65.589.99.249.190.190.115
Cefmenoxime;D2.65.589.260.190.190.125;D2.65.589.99.249.190.190.125
Cefmetazole;D2.65.589.260.250.177;D2.65.589.99.249.250.177
Cefonicid;D2.65.589.260.177;D2.65.589.99.249.177
Cefoperazone;D2.65.589.260.150.160;D2.65.589.99.249.150.160
Cefotaxime;D2.65.589.260.190.190;D2.65.589.99.249.190.190
Cefotetan;D2.65.589.260.250.199;D2.65.589.99.249.250.199
Cefotiam;D2.65.589.260.190.190.135;D2.65.589.99.249.190.190.135
Cefoxitin;D2.65.589.260.250.222;D2.65.589.99.249.250.222
Cefsulodin;D2.65.589.260.185;D2.65.589.99.249.185
Ceftazidime;D2.65.589.260.210.150;D2.65.589.99.249.210.150
Ceftizoxime;D2.65.589.260.190.190.145;D2.65.589.99.249.190.190.145
Ceftriaxone;D2.65.589.260.190.190.155;D2.65.589.99.249.190.190.155
Cefuroxime;D2.65.589.260.190.190.165;D2.65.589.99.249.190.190.165
Cell Culture;E5.200.937.225;E5.200.249.249
Cell Cycle;G4.335.135;G4.335.134
Cell Cycle;G7.553.135;G7.382.374
Cell Differentiation;G7.553.196;G7.382.750
Cell Division;G4.335.135.220;G4.335.134.220
Cell Division;G7.553.135.220;G4.335.233.750.500
Cell Division;;G7.382.374.220
Cell Division;;G7.382.843.750.500
Cell Division;;G7.574.249.410.750.500
Cell Lineage;G7.553.205;G7.382.875
Cell Lineage;;G7.574.500.325.180.500
Cell Lineage;;G8.520.170.104.249
Cell Physiology;;G7.382
Cellobiose;D9.203.698.365.180.180;D9.698.365.180.180
Cellobiose;D9.203.698.629.305.200;D9.698.629.305.200
Cellophane;D25.720.157.252;D25.720.99.500.252
Cellulose;D9.203.698.365.180;D5.750.78.562.180
Cellulose;D25.720.157;D9.698.365.180
Cellulose;;D25.720.99.500
Cellulose, Oxidized;D9.203.698.365.180.200;D5.750.78.562.180.200
Cellulose, Oxidized;;D9.698.365.180.200
Cementogenesis;G7.553.767.325;G7.574.500.325.377.750.325
Cephacetrile;D2.65.589.260.190;D2.65.589.99.249.190
Cephalexin;D2.65.589.260.200;D2.65.589.99.249.200
Cephaloglycin;D2.65.589.260.200.180;D2.65.589.99.249.200.180
Cephalometry;E1.370.600.150;E1.370.600.24.250
Cephalometry;E5.118.364;E5.41.250
Cephaloridine;D2.65.589.260.210;D2.65.589.99.249.210
Cephalosporins;D2.65.589.260;D2.65.589.99.249
Cephalothin;D2.65.589.260.190.210;D2.65.589.99.249.190.210
Cephamycins;D2.65.589.260.250;D2.65.589.99.249.250
Cephapirin;D2.65.589.260.190.230;D2.65.589.99.249.190.230
Cephradine;D2.65.589.260.200.185;D2.65.589.99.249.200.185
Ceramides;D9.203.400.410.420.525.200;D9.400.410.420.525.200
Cerebrosides;D9.203.400.410.420.525.200.250;D9.400.410.420.525.200.250
Cervical Ripening;E4.520.252.968.100;
Cetomacrogol;;D5.750.741.250
Chagas Cardiomyopathy;C14.280.600.190;C14.280.238.190
Chalcone;D2.522.818.220;D2.522.818.222.500
Chalcone;;D3.438.150.266.450.221.500
Cheetahs;B1.150.900.649.147.200;B1.150.900.649.147.354.30
Chemexfoliation;;E2.218.170
Chemiluminescence;H1.671.606.552.565.200;E5.196.712.516.200
Chiari-Frommel Syndrome;C13.703.844.506.192;C13.703.844.506.389.500
Chiari-Frommel Syndrome;C19.146.556.217;C17.800.90.937.439.500
Chicken anemia virus;B4.280.120.150.140;B4.280.120.400.150
Chicken anemia virus;B4.909.204.120.150.140;B4.909.204.120.400.150
Chickens;;B1.150.900.248.350.150
Child Development;G7.760.200;G7.574.374.750
Chimerin 1;;D12.644.360.325.150.100.200
Chimerin 1;;D12.776.476.325.150.100.200
Chimerin Proteins;;D12.644.360.325.150.100
Chimerin Proteins;;D12.776.476.325.150.100
Chitin;D9.203.698.211;D5.750.78.139
Chitin;;D9.698.211
Chloralose;D9.203.408.348.150;D9.408.348.150
Chlorophyll;;D4.345.783.374
Chlorophyll;;D4.345.783.500.640.220
Chlorophyllides;;D4.345.783.374.180
Chlorophyllides;;D4.345.783.500.640.220.180
Chlorpropham;D2.241.81.251.200;D2.241.81.251.583.177
Chlorpyrifos;D2.719.170;D2.705.539.170
Chlortetracycline;D4.615.597.900.146;D4.615.562.900.146
Cholesterol 7-alpha-Hydroxylase;D8.811.682.580.170.915.200;D8.811.682.690.708.170.915.200
Cholesterol 7-alpha-Hydroxylase;D8.811.682.580.783.200;D8.811.682.690.708.783.200
Cholesterol Side-Chain Cleavage Enzyme;D8.811.682.580.170.915.212;D8.811.682.690.708.170.915.212
Cholesterol Side-Chain Cleavage Enzyme;D8.811.682.580.783.212;D8.811.682.690.708.783.212
Cholestyramine;;D5.750.716.579.159
Chondrogenesis;G7.553.690.180;G7.574.500.325.377.625.180
Chondroitin;D9.203.698.373.200;D9.698.373.200
Chondroitin Sulfates;D9.203.698.373.200.300;D9.698.373.200.300
Chorion;;A10.615.284.473
Chorionic Villi;;A10.615.284.473.200
Chromomycin A3;D9.203.408.210.209;D9.408.210.209
Chromomycins;D9.203.408.210;D9.408.210
Chromosome Pairing;G4.335.135.220.531.170;G4.335.134.220.220.875.500.299
Chromosome Pairing;G4.335.135.220.669.170;G4.335.134.220.531.444.299
Chromosome Pairing;G5.105.531.170;G4.335.233.750.500.220.875.500.299
Chromosome Pairing;G5.105.669.170;G4.335.233.750.500.531.500.299
Chromosome Pairing;G7.553.135.220.531.170;G5.105.220.875.500.299
Chromosome Pairing;G7.553.135.220.669.170;G5.105.531.500.299
Chromosome Pairing;;G7.382.374.220.220.875.500.299
Chromosome Pairing;;G7.382.374.220.625.500.299
Chromosome Pairing;;G7.382.843.750.500.220.875.500.299
Chromosome Pairing;;G7.382.843.750.500.531.500.299
Chromosome Pairing;;G7.574.249.410.750.500.220.875.500.299
Chromosome Pairing;;G7.574.249.410.750.500.531.500.299
Chromosome Segregation;G4.335.135.220.235;G4.335.134.220.220.625
Chromosome Segregation;G5.105.235;G4.335.233.750.500.220.625
Chromosome Segregation;G7.553.135.220.235;G5.105.220.625
Chromosome Segregation;;G7.382.374.220.220.625
Chromosome Segregation;;G7.382.843.750.500.220.625
Chromosome Segregation;;G7.574.249.410.750.500.220.625
Circumcision;;E2.218.85.170
Circumcision;;E4.85.170
Circumcision, Female;;E2.218.85.175
Circumcision, Female;;E4.85.175
Clarithromycin;D9.203.408.477.250.100;D4.345.349.250.100
Clarithromycin;;D9.408.477.250.100
Clavulanic Acid;D2.65.589.270.160;D2.65.589.99.374.160
Clavulanic Acids;D2.65.589.270;D2.65.589.99.374
Climacteric;G8.520.150;G8.520.960.249
Clindamycin;D9.203.408.465.125;D9.408.465.125
Clonidine;D3.383.374.165;D3.383.374.436.500
Clostridium;B3.300.390.200;
Clostridium;B3.510.415.200;
Clostridium botulinum;B3.300.390.200.228;B3.300.390.400.200.160
Clostridium botulinum;B3.300.390.400.200.228;B3.510.415.400.200.160
Clostridium botulinum;B3.510.415.200.228;
Clostridium botulinum;B3.510.415.400.200.228;
Clostridium difficile;B3.300.390.200.250;
Clostridium difficile;B3.510.415.200.250;
Clostridium perfringens;B3.300.390.200.575;
Clostridium perfringens;B3.510.415.200.575;
Clostridium tetani;B3.300.390.200.725;
Clostridium tetani;B3.510.415.200.725;
Cloxacillin;D2.65.589.875.625.150;D2.65.589.99.750.625.150
Cobamides;;D4.345.783.437.777.270
Coculture;E5.200.937.250;E5.200.249.374
Coitus;G8.520.902.188;G8.520.41
Coitus;;G8.520.950.139
Coitus Interruptus;G8.520.902.188.300;G8.520.950.139.300
Colestipol;;D5.750.200
Colinus;B1.150.900.248.801.300;B1.150.900.248.350.650.300
Colistin;;D4.345.566.780.110
Collagen;;D5.750.78.280
Collagen Type I;;D5.750.78.280.300.100
Collagen Type II;;D5.750.78.280.300.200
Collagen Type III;;D5.750.78.280.300.300
Collagen Type V;;D5.750.78.280.300.400
Collagen Type XI;;D5.750.78.280.300.500
Collodion;D25.720.157.439;D25.720.99.500.439
Color;H1.671.606.217;H1.671.606.552.199
Color;;H1.671.768.638.578.199
Compact Disks;L1.178.147.668.800.250;J1.897.280.500.668.800.250
Compact Disks;L1.178.147.898.800.250;J1.897.280.500.898.800.250
Compact Disks;L1.700.568.80.260.115.475.600.325;L1.178.590.875.800.250
Compact Disks;;L1.178.820.90.668.800.250
Compact Disks;;L1.178.820.90.898.800.250
Compact Disks;;L1.224.230.260.115.475.600.325
Compomers;;D5.750.716.822.308.300
Composite Resins;;D5.750.716.822.308
Computer Communication Networks;L1.700.568.80.110;L1.224.230.110
Computer Graphics;L1.700.568.110.108;L1.224.108
Computer Graphics;L1.700.568.810.210.110;L1.296.110
Computer Literacy;L1.700.568.70;L1.143.256
Computer Peripherals;L1.700.568.80.260.115;L1.224.230.260.115
Computer Simulation;L1.700.568.110.160;L1.224.160
Computer Storage Devices;L1.700.568.80.260.115.475;L1.224.230.260.115.475
Computer Systems;L1.700.568.80;L1.224.230
Computer Terminals;L1.700.568.80.260.115.500;L1.224.230.260.115.500
Computer-Aided Design;L1.700.568.110.108.150;L1.224.108.150
Computer-Aided Design;L1.700.568.810.210.110.150;L1.296.110.150
Computers;L1.700.568.80.260;L1.224.230.260
Computers, Analog;L1.700.568.80.260.230;L1.224.230.260.230
Computers, Handheld;L1.700.568.80.260.550.500;L1.224.230.260.550.500
Computers, Hybrid;L1.700.568.80.260.280;L1.224.230.260.280
Computers, Mainframe;L1.700.568.80.260.308;L1.224.230.260.308
Computers, Molecular;L1.700.568.80.260.315;L1.224.230.260.315
Computers, Molecular;L1.700.568.110.300;L1.224.300
Computing Methodologies;L1.700.568.110;L1.224
Coproporphyrinogens;;D4.345.783.500.700.250
Coproporphyrins;;D4.345.783.500.250
Copulation;F1.145.802.244;
Copulation;G8.520.902.244;
Corpus Luteum Maintenance;G8.520.769.100;G8.520.440.508.355.500
Corpus Luteum Maintenance;;G8.520.769.520.500
Corrinoids;;D4.345.783.437
